mean_x,mean_y,mean_z,magnitude_mean,std_x,std_y,std_z,magnitude_std,rms_x,rms_y,rms_z,magnitude_rms,min_x,min_y,min_z,magnitude_min,max_x,max_y,max_z,magnitude_max,median_x,median_y,median_z,magnitude_median,mad_x,mad_y,mad_z,magnitude_mad,corr_xy,corr_yz,corr_xz,class
-1.64415131,7.299988704,-4.774018837,9.194467532,1.374718174,1.303726931,1.601727092,0.633383697,2.143148056,7.415493172,5.035552158,9.216257815,-3.8908691,4.9472046,-7.264801,7.616314874,1.0220337,10.116287,-0.64723206,10.60699871,-1.4439926,7.26838685,-4.96038055,9.25373814,1.145463139,1.075876812,1.23935136,0.493521393,0.803481545,0.755901028,0.72455403,SITTING
-4.89332215,2.375116571,-8.347987354,10.03957309,0.647944841,1.077232231,0.453523274,0.517291521,4.936034256,2.607989265,8.360297616,10.05289105,-5.834961,0.26174927,-9.491409,8.587556917,-2.5046234,5.095642,-7.2025604,11.57155169,-4.917984,1.8730545,-8.3338085,10.03446274,0.466141192,0.848992991,0.33403152,0.33141962,0.147029273,0.330088573,0.287060938,SITTING
-4.714092106,1.146173101,-8.77157046,10.0455693,0.542208272,0.410816854,0.462358901,0.489794916,4.745171672,1.217572694,8.783747725,10.05750275,-6.4023895,-0.49241638,-10.326981,9.372079629,-3.6490479,2.10289,-7.968704,12.08928043,-4.67736815,1.1344452,-8.762375,9.961058627,0.364910567,0.280063235,0.326968517,0.301608983,0.287381542,0.298514363,0.050644267,SITTING
-4.440626224,1.069510192,-8.86441677,9.972461408,0.071734136,0.047943467,0.063883986,0.04936584,4.441205585,1.070584246,8.864646966,9.972583593,-4.570816,0.94410706,-8.995804,9.86509207,-4.2715454,1.2266235,-8.758789,10.07194193,-4.4367523,1.0709991,-8.86174,9.964040322,0.059195493,0.0358289,0.051725401,0.042919093,0.194947019,0.208994846,-0.454510654,SITTING
-4.37564788,0.917478328,-8.9335617,9.99169183,0.120399342,0.155448141,0.059223269,0.069623275,4.377304007,0.930553924,8.933758002,9.991934398,-4.7096863,0.43414307,-9.072418,9.695229766,-3.8525696,1.1595764,-8.753998,10.17454616,-4.35894015,0.938117985,-8.9383545,10.00644081,0.077469081,0.110669675,0.045394136,0.043269904,-0.026264986,0.537605089,-0.009119805,SITTING
-4.398009038,0.801166685,-8.93389647,9.991436464,0.094128726,0.119802042,0.117197137,0.083683879,4.399016221,0.810074433,8.934665148,9.991786908,-4.657013,0.47244263,-9.165802,9.669086748,-4.154236,1.1332397,-8.540909,10.2036694,-4.4044266,0.7956543,-8.93955225,9.989391467,0.065317525,0.080033287,0.081245851,0.053146451,0.141484107,-0.152128488,-0.688270534,SITTING
-4.393365194,0.784599911,-8.94409573,9.995779378,0.029042333,0.016696623,0.027091093,0.018813773,4.393461185,0.784777547,8.944136758,9.995797084,-4.4606934,0.75735474,-9.005386,9.940136368,-4.352951,0.8267822,-8.873703,10.03633006,-4.3864746,0.78488922,-8.945526,9.996757947,0.023968513,0.014126281,0.021469732,0.01546985,-0.404792219,0.412267589,-0.622831911,SITTING
-4.365208462,0.775213316,-8.959227,9.996205204,0.01687965,0.010710126,0.015241593,0.016201445,4.365241098,0.775287296,8.959239965,9.996218334,-4.4056244,0.7453766,-8.991028,9.952532672,-4.321823,0.80044556,-8.909622,10.0359582,-4.3661118,0.7753067,-8.9599,9.993970292,0.013119206,0.008093569,0.01132916,0.012317945,-0.005261649,-0.333881309,0.065779615,SITTING
-4.368225116,0.772438048,-8.95726377,9.995554076,0.016968422,0.010569537,0.017098735,0.014702725,4.368258073,0.772510358,8.95728009,9.995564889,-4.396042,0.7525635,-8.995804,9.960929952,-4.3266144,0.7980499,-8.926376,10.03634091,-4.3673096,0.77051543,-8.957504,9.996314943,0.013683453,0.008656622,0.013675738,0.011849777,-0.112199669,-0.012345402,-0.333582179,SITTING
-4.354338386,0.771622618,-8.96530758,9.996631457,0.012124,0.01064289,0.01599521,0.01672917,4.354355265,0.771696012,8.965321849,9.996645455,-4.3816833,0.7477722,-9.005386,9.964368277,-4.3314056,0.7908783,-8.9383545,10.04086299,-4.3517532,0.77171326,-8.962296,9.995163876,0.010079204,0.008718536,0.01343325,0.014118194,0.210417259,0.087111272,0.325940323,SITTING
